,ACQ,ACQ_Name,TAR,TAR_Name,YEAR
0,18409,"TD Bank, National Association",58656,Scottrade Bank,2017
1,588,Manufacturers and Traders Trust Company,13074,Hudson City Savings Bank,2015
2,58978,"CIT BANK, NATIONAL ASSOCIATION",35575,CIT Bank,2015
3,5510,Frost  Bank,22482,Western National Bank,2014
4,12441,Hancock Bank,33029,Whitney Bank,2014
5,4988,Trustmark National Bank,34866,Reliance Bank,2017
6,26610,Bank of Hope,23301,Wilshire Bank,2016
7,15289,Great Western Bank,28092,Home Federal Bank,2016
8,17491,PlainsCapital Bank,32460,"Southwest Securities , FSB",2015
9,28178,Northwest Bank,14832,The Lorain National Bank,2015
10,12010,The Provident Bank,58085,Team Capital Bank,2014
11,34589,Union First Market Bank,6834,StellarOne Bank,2014
12,27476,BancFirst,23250,Bank of Commerce,2015
13,18297,Southside Bank,17233,First Bank & Trust East Texas,2017
14,58006,LegacyTexas Bank,18843,LegacyTexas Bank,2015
15,15697,Beneficial Bank,27013,Conestoga Bank,2016
16,59052,"NBH Bank, National Association",22497,Pine River Valley Bank,2015
17,58991,"Florida Community Bank, National Association",57719,Great Florida Bank,2014
18,34742,EagleBank,58174,Virginia Heritage Bank,2014
19,24170,Hanmi Bank,25330,United Central Bank,2014
20,17943,Liberty Bank,30365,Naugatuck Valley Savings and Loan,2016
21,21837,"Sabadell United Bank, National Association",17715,"JGB BANK, NATIONAL ASSOCIATION",2014
22,57993,ServisFirst Bank,58653,Metro Bank,2015
23,33510,East Boston Savings Bank,26715,Meetinghouse Bank,2017
24,21440,Fidelity Bank,57709,American Enterprise Bank of Florida,2016
25,953,Bankers Trust Company,57484,Bankers Trust Company,2016
26,21943,Tri Counties Bank,20959,North Valley Bank,2014
27,28710,Northfield Bank,34942,Hopewell Valley Community Bank,2016
28,3657,First American Bank,58131,Bank of Coral Gables,2014
29,28765,Kearny Federal Savings Bank,30783,Atlas Bank,2014
30,34733,Cardinal Bank,23567,The Business Bank,2014
31,11971,Bar Harbor Bank & Trust,31953,"Lake Sunapee Bank, FSB",2017
32,27677,HomeTrust Bank,58467,TriSummit Bank,2017
33,16980,Bank of Colorado,90528,MontroseBank,2015
34,20369,Heartland Bank and Trust Company,21272,American Midwest Bank,2016
35,57919,ConnectOne Bank,6431,Union Center National Bank,2014
36,16191,Stockman Bank of Montana,8314,Basin State Bank,2014
37,15399,RCB Bank,4803,Cornerbank,2016
38,19300,American National Bank,10203,"Western Bank, National Association",2015
39,29845,First Federal Bank of the Midwest,2291,The Commercial Savings Bank,2017
40,35385,Premier Bank & Trust,28114,"The Home Savings and Loan Company of Youngstown, Ohio",2017
41,57968,SONABANK,11584,EVB,2017
42,35525,"Atlantic Capital Bank, National Association",58492,Atlantic Capital Bank,2015
43,15359,Southern Bank and Trust Company,22411,Heritage Bank,2016
44,13876,CNB Bank,57879,Lake National Bank,2016
